Timestamp,roll,pitch, yaw, eyes_up
01-07-2015-01:59:55:433,-6.36421871185303,-0.17122545838356,3.55468511581421,0
01-07-2015-01:59:55:525,-6.27109432220459,-1.44273614883423,4.05494737625122,100
01-07-2015-01:59:55:653,-6.16967964172363,-1.76460576057434,3.9515106678009,0
01-07-2015-01:59:55:784,-6.02309370040894,-0.329435974359512,3.62091088294983,0
01-07-2015-01:59:55:913,-3.5542004108429,-1.29527425765991,4.05446863174438,0
01-07-2015-01:59:56:005,-2.39573812484741,-1.04050076007843,1.74241530895233,100
01-07-2015-01:59:56:093,-3.37644147872925,-3.61243033409119,6.88824653625488,0
01-07-2015-01:59:56:225,-4.79857492446899,-1.98971247673035,5.88719034194946,0
01-07-2015-01:59:56:356,-6.60835027694702,-3.34209370613098,4.97583389282227,0
01-07-2015-01:59:56:485,-6.17754936218262,-4.524338722229,1.72856962680817,0
01-07-2015-01:59:56:617,-3.92472052574158,-8.15405082702637,-0.926955878734589,0
01-07-2015-01:59:56:745,-2.86521625518799,-7.15337228775024,-1.27238976955414,0
01-07-2015-01:59:56:877,-2.73522043228149,-7.82573509216309,-1.77553749084473,0
01-07-2015-01:59:56:965,-3.71793532371521,-7.97686576843262,0.0222765058279037,100
01-07-2015-01:59:57:057,-4.15720462799072,-8.15392112731934,-1.07750463485718,0
01-07-2015-01:59:57:185,-4.23574542999268,-8.05428981781006,-0.854101896286011,0
01-07-2015-01:59:57:277,-4.29857110977173,-7.87390565872192,-0.724543333053589,100
01-07-2015-01:59:57:365,-4.26117277145386,-7.89553499221802,-0.578383326530457,100
01-07-2015-01:59:57:457,-4.29379844665527,-7.87397527694702,-0.49678835272789,100
01-07-2015-01:59:57:545,-4.29381847381592,-7.87118482589722,-0.493954449892044,100
01-07-2015-01:59:57:633,-4.29773426055908,-7.96089792251587,-0.484794288873672,100
01-07-2015-01:59:57:725,-4.28176879882813,-8.17638397216797,-0.427161574363709,100
01-07-2015-01:59:57:813,-4.18678665161133,-8.23538208007813,-0.505924105644226,100
01-07-2015-01:59:57:905,-4.18307113647461,-8.04372978210449,-0.522798657417297,100
01-07-2015-01:59:57:993,-4.21161556243896,-8.06169414520264,-0.531612753868103,100
01-07-2015-01:59:58:085,-4.09571552276611,-7.86617994308472,-0.765777468681335,100
01-07-2015-01:59:58:213,-3.94070625305176,-8.00992774963379,-1.41102182865143,0
01-07-2015-01:59:58:304,-3.73633885383606,-8.28168678283691,-1.60875046253204,0
01-07-2015-01:59:58:393,-2.52239370346069,-8.13429927825928,-2.2139790058136,0
01-07-2015-01:59:58:525,0.223621845245361,-8.89750099182129,-5.14848613739014,0
01-07-2015-01:59:58:613,3.60402131080627,-7.86687517166138,-7.21128273010254,0
01-07-2015-01:59:58:745,6.13872528076172,-7.02655553817749,-9.29238986968994,0
01-07-2015-01:59:58:873,13.4232912063599,-6.65980291366577,-7.0590763092041,0
01-07-2015-01:59:58:964,15.6809425354004,-6.7683367729187,-3.638920545578,0
01-07-2015-01:59:59:093,17.0540962219238,-8.45901393890381,-3.08278441429138,0
01-07-2015-01:59:59:145,17.1429309844971,-8.34126758575439,-2.37537336349487,0
01-07-2015-01:59:59:273,17.4654369354248,-9.0131139755249,-1.63086843490601,0
