Timestamp,roll,pitch, yaw, eyes_up
07-06-2015-04:17:06:657,3.85619783401489,18.880163192749,7.99100589752197,0
07-06-2015-04:17:06:788,4.7002592086792,15.5283308029175,8.34747123718262,100
07-06-2015-04:17:06:960,4.59582996368408,15.8914594650269,7.96146821975708,100
07-06-2015-04:17:07:128,4.52651929855347,16.5068550109863,7.92416715621948,0
07-06-2015-04:17:07:299,4.61186552047729,16.4482173919678,7.8523964881897,0
07-06-2015-04:17:07:431,4.73835611343384,16.6897659301758,7.81285047531128,0
07-06-2015-04:17:07:560,4.78607368469238,16.8063697814941,7.7626781463623,0
07-06-2015-04:17:07:691,4.91337871551514,16.5551357269287,7.67645931243896,0
07-06-2015-04:17:07:864,4.89635705947876,16.5885715484619,7.60606956481934,0
07-06-2015-04:17:08:032,4.89934968948364,15.5425539016724,8.15667247772217,0
07-06-2015-04:17:08:164,4.78904438018799,15.9280967712402,8.0695219039917,0
07-06-2015-04:17:08:292,4.58381366729736,16.2226047515869,7.75950288772583,0
07-06-2015-04:17:08:424,4.51849460601807,14.6957511901855,7.95171785354614,0
07-06-2015-04:17:08:552,4.4786810874939,14.7824001312256,7.89341640472412,0
07-06-2015-04:17:08:684,4.50170421600342,14.7781858444214,7.96092939376831,0
07-06-2015-04:17:08:812,4.45838689804077,14.4985542297363,8.39948272705078,100
07-06-2015-04:17:08:944,4.6236720085144,14.41956615448,8.47133636474609,100
07-06-2015-04:17:09:072,4.82187747955322,15.0254650115967,7.51017236709595,100
07-06-2015-04:17:09:204,4.98858404159546,16.622953414917,7.45669651031494,0
07-06-2015-04:17:09:336,5.14300966262817,16.5323257446289,7.52203130722046,0
07-06-2015-04:17:09:463,5.15739488601685,16.3253021240234,7.37224435806274,0
07-06-2015-04:17:09:596,5.19655323028564,16.2377223968506,7.37594318389893,0
07-06-2015-04:17:09:723,5.17753410339355,16.2168674468994,7.30257940292358,0
07-06-2015-04:17:09:856,5.19521379470825,16.2380657196045,7.29994583129883,0
07-06-2015-04:17:09:984,5.22473859786987,16.5686492919922,7.35388803482056,0
07-06-2015-04:17:10:115,6.46310043334961,20.0623874664307,7.54002618789673,0
07-06-2015-04:17:10:244,6.35172843933105,16.5979557037354,8.35772514343262,100
07-06-2015-04:17:10:376,6.42100048065186,15.8285789489746,8.77297592163086,100
07-06-2015-04:17:10:504,6.33402299880981,16.0481338500977,9.04429817199707,100
07-06-2015-04:17:10:636,2.40681719779968,7.53562116622925,4.76567983627319,0
07-06-2015-04:17:10:808,0.379001975059509,-8.60525417327881,2.61680245399475,100
07-06-2015-04:17:10:976,0.251581937074661,-14.6108541488647,1.45743882656097,100
07-06-2015-04:17:11:108,0.252189338207245,-15.3797473907471,-0.59821081161499,100
07-06-2015-04:17:11:236,0.454599171876907,-16.1709728240967,-1.73479437828064,100
07-06-2015-04:17:11:368,1.00319564342499,-17.6315937042236,-1.28588247299194,100
