Timestamp,roll,pitch, yaw, eyes_up
08-06-2015-12:03:22:778,0,0,0,0
08-06-2015-12:03:22:949,0,0,0,0
08-06-2015-12:03:23:121,0,0,0,0
08-06-2015-12:03:23:289,0,0,0,0
08-06-2015-12:03:23:461,0,0,0,0
08-06-2015-12:03:23:633,0,0,0,0
08-06-2015-12:03:24:409,7.17053461074829,31.8110847473145,3.61052060127258,0
08-06-2015-12:03:24:581,10.0682392120361,21.6883888244629,3.92985773086548,0
08-06-2015-12:03:24:748,9.60598850250244,23.6022758483887,0.470994234085083,100
08-06-2015-12:03:24:960,4.4922513961792,22.2235450744629,-6.3951210975647,0
08-06-2015-12:03:25:133,1.52596521377563,23.5838298797607,-8.85200786590576,100
08-06-2015-12:03:25:341,-0.0613524913787842,27.6496467590332,-6.37721538543701,0
08-06-2015-12:03:25:513,-2.80011391639709,28.6515216827393,-6.3014931678772,0
08-06-2015-12:03:25:685,-2.65033507347107,28.4998722076416,-6.85164499282837,0
08-06-2015-12:03:25:853,-2.45916724205017,28.5952854156494,-6.79629898071289,100
08-06-2015-12:03:26:065,-2.52362179756165,27.3260478973389,-6.66552114486694,100
08-06-2015-12:03:26:236,-2.77910971641541,26.9580669403076,-7.12908506393433,100
08-06-2015-12:03:26:405,-2.43773627281189,26.6676540374756,-7.39669895172119,100
08-06-2015-12:03:26:781,-2.97481083869934,30.9443874359131,-7.66627407073975,0
08-06-2015-12:03:27:029,-1.95688676834106,25.4909400939941,-7.37320184707642,100
08-06-2015-12:03:27:241,-1.9706404209137,25.4320411682129,-7.38635730743408,100
08-06-2015-12:03:27:413,-1.80881071090698,25.4424133300781,-7.4094352722168,100
08-06-2015-12:03:27:585,-1.85382354259491,25.3056125640869,-7.38917684555054,100
08-06-2015-12:03:27:753,-1.87017273902893,25.1806240081787,-7.41588687896729,100
08-06-2015-12:03:27:925,-1.99864459037781,25.0064392089844,-7.42025518417358,100
08-06-2015-12:03:28:097,-1.88623690605164,25.1498241424561,-7.44934463500977,100
08-06-2015-12:03:28:264,-1.88373935222626,25.018180847168,-7.43423795700073,100
08-06-2015-12:03:28:437,-1.78766119480133,24.9255218505859,-7.31592559814453,100
08-06-2015-12:03:28:605,-1.7853285074234,24.3431358337402,-7.26258707046509,100
08-06-2015-12:03:28:777,-1.65302860736847,23.5495567321777,-7.05480003356934,100
08-06-2015-12:03:28:989,-1.60986232757568,23.3341293334961,-7.13856077194214,100
08-06-2015-12:03:29:157,-1.55853593349457,23.2531356811523,-7.2308554649353,100
08-06-2015-12:03:29:369,-1.54143047332764,23.2961254119873,-6.95394897460938,100
08-06-2015-12:03:29:540,-1.56063175201416,23.2969017028809,-6.99816656112671,100
08-06-2015-12:03:29:713,-1.62508094310761,23.2923126220703,-7.09510850906372,100
08-06-2015-12:03:29:962,-1.63004922866821,23.3268775939941,-7.30542421340942,100
08-06-2015-12:03:30:173,-1.51590669155121,22.5615730285645,-7.14017200469971,100
08-06-2015-12:03:30:345,-1.5202442407608,22.5406341552734,-7.14409160614014,100
08-06-2015-12:03:30:557,-1.64518427848816,22.6212711334229,-7.31704807281494,100
08-06-2015-12:03:30:725,-1.73202347755432,22.6586742401123,-7.37951469421387,100
08-06-2015-12:03:30:897,-1.74608874320984,22.6882400512695,-7.41343069076538,100
08-06-2015-12:03:31:064,-1.70991337299347,22.6939315795898,-7.46697950363159,100
08-06-2015-12:03:31:237,-1.42043268680573,22.1324138641357,-7.14324951171875,100
08-06-2015-12:03:31:409,-1.30612111091614,21.3763408660889,-6.64897537231445,100
08-06-2015-12:03:31:617,-0.999426305294037,21.5808296203613,-6.2383279800415,100
08-06-2015-12:03:31:789,-1.08676064014435,22.4865417480469,-6.77153158187866,100
08-06-2015-12:03:31:961,-0.461395442485809,21.0646514892578,-7.21810913085938,100
08-06-2015-12:03:32:128,-0.423534423112869,21.3480453491211,-7.03791666030884,100
08-06-2015-12:03:32:301,-0.672081768512726,21.9221019744873,-6.7908992767334,100
08-06-2015-12:03:32:471,-0.652756571769714,21.8806571960449,-6.74766206741333,100
08-06-2015-12:03:32:641,-0.656700491905212,21.8762187957764,-6.7415132522583,100
08-06-2015-12:03:32:773,-0.704462468624115,21.8612251281738,-6.84148502349854,100
08-06-2015-12:03:32:901,-0.703801691532135,22.0230598449707,-6.80583000183105,100
08-06-2015-12:03:33:033,-0.725668370723724,21.6718082427979,-6.85565614700317,100
08-06-2015-12:03:33:201,-0.69497275352478,21.6103420257568,-6.83269262313843,100
08-06-2015-12:03:33:333,-0.687284052371979,21.574104309082,-6.7917594909668,100
08-06-2015-12:03:33:465,-0.633564889431,21.6740074157715,-6.79669618606567,100
08-06-2015-12:03:33:593,-0.654387533664703,21.7017021179199,-6.81169652938843,100
08-06-2015-12:03:33:725,-0.606868326663971,21.7349586486816,-6.75603342056274,100
08-06-2015-12:03:33:853,-0.608548581600189,21.7203483581543,-6.74439525604248,100
08-06-2015-12:03:34:025,-0.610372364521027,21.7109470367432,-6.74312829971313,100
08-06-2015-12:03:34:156,-0.635179579257965,21.7122554779053,-6.7620267868042,100
08-06-2015-12:03:34:285,-0.641144275665283,21.6865272521973,-6.76733303070068,100
08-06-2015-12:03:34:417,-0.623308718204498,21.7216453552246,-6.75549268722534,100
