Timestamp,roll,pitch, yaw, eyes_up
08-06-2015-11:55:51:178,0,0,0,0
08-06-2015-11:55:51:349,0,0,0,0
08-06-2015-11:55:51:517,0,0,0,0
08-06-2015-11:55:52:337,-0.265105187892914,33.5815315246582,-3.3674533367157,0
08-06-2015-11:55:52:628,-0.978193938732147,35.1505241394043,-2.94129109382629,100
08-06-2015-11:55:52:880,-1.17527663707733,35.2093391418457,-3.10236263275146,0
08-06-2015-11:55:53:172,-0.960866570472717,35.1212120056152,-2.67339205741882,0
08-06-2015-11:55:54:028,-0.458055764436722,34.6244697570801,-2.48035669326782,100
08-06-2015-11:55:54:444,24.2516403198242,67.5153656005859,36.9465408325195,0
08-06-2015-11:55:54:652,0,0,0,0
08-06-2015-11:55:54:865,0,0,0,0
08-06-2015-11:55:55:561,-0.448942333459854,39.5297355651855,-3.27266240119934,100
08-06-2015-11:55:55:852,-0.524604916572571,35.6826934814453,-3.31261730194092,100
08-06-2015-11:55:56:145,-0.528415560722351,36.6204566955566,-3.3702392578125,100
08-06-2015-11:55:56:396,-0.733041703701019,36.778865814209,-3.1963894367218,100
08-06-2015-11:55:57:093,-0.399866849184036,34.691104888916,-3.45990705490112,100
08-06-2015-11:55:57:385,-0.444407552480698,34.749584197998,-3.30597162246704,100
08-06-2015-11:55:57:717,-0.535266935825348,35.0570640563965,-3.37921237945557,100
08-06-2015-11:55:57:973,-0.516045331954956,35.210865020752,-3.24991631507874,100
08-06-2015-11:55:58:669,-0.544248044490814,35.3988571166992,-3.18538451194763,100
08-06-2015-11:55:58:961,-0.58516925573349,35.5770797729492,-3.30776071548462,100
08-06-2015-11:55:59:212,-0.672263264656067,35.6664276123047,-3.17213344573975,100
08-06-2015-11:55:59:505,-0.762324810028076,35.6291923522949,-3.19870495796204,100
08-06-2015-11:56:00:241,-0.686262428760529,36.3038291931152,-3.31193828582764,0
08-06-2015-11:56:00:533,-0.529070198535919,36.4367408752441,-3.39612007141113,100
08-06-2015-11:56:00:784,-0.125759601593018,36.5733261108398,-3.41518998146057,100
08-06-2015-11:56:01:037,-0.340703725814819,36.7957344055176,-3.51068782806396,100
08-06-2015-11:56:01:853,-0.477168440818787,37.063060760498,-3.68216013908386,100
08-06-2015-11:56:02:105,-0.635891675949097,37.4330062866211,-3.76664400100708,100
08-06-2015-11:56:02:356,-0.64795196056366,37.4199523925781,-3.78022074699402,100
08-06-2015-11:56:02:608,-0.599906325340271,37.3178939819336,-3.74004077911377,100
08-06-2015-11:56:03:344,-0.302713304758072,36.3362121582031,-4.41072034835815,100
08-06-2015-11:56:03:637,-0.411810249090195,36.3634834289551,-4.50346899032593,100
08-06-2015-11:56:03:889,-0.452304303646088,36.5460548400879,-4.59517621994019,100
08-06-2015-11:56:04:140,-0.431639343500137,36.5445289611816,-4.52667474746704,100
08-06-2015-11:56:04:877,-0.442679613828659,36.5928649902344,-4.55104637145996,100
08-06-2015-11:56:05:129,-0.483484447002411,36.7736129760742,-4.66245412826538,100
08-06-2015-11:56:05:381,-0.540348172187805,36.7111129760742,-4.74360227584839,100
08-06-2015-11:56:05:673,-0.554567515850067,36.8105239868164,-4.7998514175415,100
08-06-2015-11:56:06:409,-0.556261479854584,36.8604698181152,-4.66394805908203,100
08-06-2015-11:56:06:660,-0.506428718566895,36.8004722595215,-4.58642387390137,100
08-06-2015-11:56:06:913,-0.340402662754059,36.792797088623,-4.42763328552246,100
08-06-2015-11:56:07:205,-0.395530790090561,37.0172882080078,-4.56006813049316,100
08-06-2015-11:56:07:981,-0.455403983592987,37.1698303222656,-4.66823244094849,100
08-06-2015-11:56:08:313,-0.685526430606842,37.3419799804688,-4.79607677459717,0
08-06-2015-11:56:08:564,-2.03672003746033,37.4794731140137,-6.57287216186523,100
08-06-2015-11:56:08:777,-3.53775024414063,37.3404426574707,-8.87705326080322,100
08-06-2015-11:56:09:512,-4.06915044784546,37.9565010070801,-7.01342821121216,100
08-06-2015-11:56:09:805,-4.14275455474854,37.666389465332,-7.02105617523193,100
08-06-2015-11:56:10:097,-3.98345017433167,37.6768684387207,-6.84084177017212,100
08-06-2015-11:56:10:349,-4.04537391662598,37.5380020141602,-6.99380445480347,100
08-06-2015-11:56:11:005,-4.40766954421997,38.0712661743164,-7.022301197052,100
08-06-2015-11:56:11:297,-4.67712545394897,38.4931678771973,-7.27698421478271,100
08-06-2015-11:56:11:549,-4.75100946426392,38.5345344543457,-7.29607105255127,100
08-06-2015-11:56:11:760,-4.7376561164856,38.533763885498,-7.27390003204346,100
08-06-2015-11:56:12:457,-4.70195007324219,38.4283409118652,-7.24287080764771,100
08-06-2015-11:56:12:669,-4.81822729110718,38.6355133056641,-7.14453458786011,100
08-06-2015-11:56:12:881,-4.82532453536987,38.5606346130371,-7.25260591506958,100
08-06-2015-11:56:13:092,-4.99850702285767,38.5083122253418,-7.28092288970947,100
08-06-2015-11:56:13:749,-4.40408992767334,37.8487777709961,-6.82323598861694,100
08-06-2015-11:56:13:996,-4.46956634521484,37.6702919006348,-6.8007173538208,100
08-06-2015-11:56:14:249,-4.39419269561768,37.9023857116699,-6.66574621200562,100
08-06-2015-11:56:14:501,-4.40266990661621,38.0676460266113,-6.63152313232422,100
08-06-2015-11:56:15:197,-4.33283233642578,37.7003479003906,-6.79898977279663,100
08-06-2015-11:56:15:409,-4.58751153945923,37.1908187866211,-7.28512811660767,100
08-06-2015-11:56:15:621,-4.64125156402588,37.2614784240723,-7.28552770614624,100
08-06-2015-11:56:15:793,-4.67922258377075,37.2289695739746,-7.35735845565796,100
08-06-2015-11:56:16:448,-4.72344350814819,40.4932441711426,-5.73716926574707,100
08-06-2015-11:56:16:700,-4.52200412750244,39.9641609191895,-5.81164169311523,100
08-06-2015-11:56:16:913,-4.61230611801147,39.8414039611816,-6.0013370513916,100
08-06-2015-11:56:17:120,-4.64102077484131,39.9310188293457,-5.84192562103271,100
08-06-2015-11:56:17:861,-4.56087160110474,39.9808311462402,-5.74157810211182,100
08-06-2015-11:56:18:073,-4.50736093521118,40.0498275756836,-5.71042680740356,100
08-06-2015-11:56:18:281,-4.83908176422119,40.0752143859863,-5.90065717697144,100
08-06-2015-11:56:18:492,-4.87360286712646,40.045711517334,-5.9816517829895,100
08-06-2015-11:56:19:149,-4.70775032043457,40.2620735168457,-6.28260660171509,100
08-06-2015-11:56:19:400,-4.69999647140503,39.8000106811523,-6.24375867843628,100
08-06-2015-11:56:19:653,-4.75518703460693,39.7901344299316,-6.27003526687622,100
08-06-2015-11:56:19:905,-4.43790006637573,39.8930740356445,-6.02604198455811,100
08-06-2015-11:56:20:561,-4.7748498916626,40.2773590087891,-6.40755605697632,100
08-06-2015-11:56:20:813,-4.79563140869141,40.2998886108398,-6.58972930908203,100
08-06-2015-11:56:21:065,-5.12673568725586,40.3250579833984,-6.86968660354614,100
08-06-2015-11:56:21:316,-5.39329242706299,40.2801475524902,-7.10245704650879,100
08-06-2015-11:56:21:973,-5.07977676391602,40.1907348632813,-6.72509145736694,100
08-06-2015-11:56:22:181,-4.85810327529907,39.8198699951172,-7.04968929290771,100
08-06-2015-11:56:22:433,-4.8189902305603,39.7430763244629,-6.97708225250244,100
08-06-2015-11:56:22:684,-4.66245317459106,39.518684387207,-6.78414726257324,100
08-06-2015-11:56:23:381,-5.11847496032715,39.5293998718262,-7.2573094367981,100
08-06-2015-11:56:23:633,-5.06943368911743,39.6754989624023,-7.47746419906616,100
08-06-2015-11:56:23:885,-5.19707870483398,39.7436485290527,-7.61281394958496,100
08-06-2015-11:56:24:137,-5.48474740982056,40.0728073120117,-7.85465955734253,100
08-06-2015-11:56:24:833,-5.04890537261963,39.5504188537598,-7.12636041641235,100
08-06-2015-11:56:25:125,-5.22484731674194,40.645881652832,-7.37236070632935,100
08-06-2015-11:56:25:376,-5.28936338424683,40.4787750244141,-7.60645389556885,100
08-06-2015-11:56:25:629,-5.24169635772705,40.3196029663086,-7.64143943786621,100
08-06-2015-11:56:26:285,-5.30806493759155,40.4721946716309,-7.9314136505127,100
08-06-2015-11:56:26:537,-5.25938272476196,40.3383369445801,-7.72084903717041,100
08-06-2015-11:56:26:789,-5.22575998306274,39.9021263122559,-7.77910947799683,100
08-06-2015-11:56:26:996,-4.99100637435913,39.6138648986816,-7.52829885482788,100
08-06-2015-11:56:27:657,-5.38890504837036,40.4243011474609,-7.85209894180298,100
08-06-2015-11:56:27:989,-6.96930265426636,40.2896842956543,-10.3450136184692,100
08-06-2015-11:56:28:280,-7.38823270797729,40.1226463317871,-10.7665233612061,100
08-06-2015-11:56:28:533,-7.40570068359375,39.8948822021484,-10.8431196212769,100
08-06-2015-11:56:29:228,-7.35571002960205,39.2998390197754,-10.1422700881958,100
08-06-2015-11:56:29:480,-7.1661262512207,39.3007888793945,-9.89140319824219,100
08-06-2015-11:56:29:693,-6.97216892242432,39.3129234313965,-9.85455894470215,100
08-06-2015-11:56:29:905,-6.92000389099121,39.2536087036133,-9.59289073944092,100
08-06-2015-11:56:30:641,-7.11161756515503,39.5975379943848,-9.76869487762451,100
08-06-2015-11:56:30:853,-7.05308818817139,39.3504219055176,-9.61823844909668,100
08-06-2015-11:56:31:064,-6.95015907287598,39.2328681945801,-9.60994529724121,100
08-06-2015-11:56:31:273,-7.01275825500488,39.4151649475098,-9.67551326751709,100
08-06-2015-11:56:32:012,-6.90452098846436,39.3304862976074,-9.6786413192749,100
08-06-2015-11:56:32:220,-6.95808506011963,38.9734954833984,-9.69273471832275,100
08-06-2015-11:56:32:433,-7.09474420547485,39.0720825195313,-9.75675392150879,100
08-06-2015-11:56:32:644,-7.07661151885986,39.000846862793,-9.81345272064209,100
08-06-2015-11:56:33:301,-7.27487707138062,39.1519660949707,-9.92105197906494,100
08-06-2015-11:56:33:553,-7.32845020294189,38.9382553100586,-9.77861976623535,100
08-06-2015-11:56:33:764,-7.46339797973633,38.9064826965332,-9.92157936096191,100
08-06-2015-11:56:33:973,-7.25902700424194,39.0236473083496,-9.77503395080566,100
08-06-2015-11:56:34:752,-7.3061318397522,38.9138946533203,-9.80612754821777,100
08-06-2015-11:56:35:044,-7.22300243377686,38.5538024902344,-10.0097131729126,100
08-06-2015-11:56:35:217,-6.72445726394653,38.7449417114258,-9.55028629302979,100
08-06-2015-11:56:35:384,-6.65144395828247,38.7370758056641,-9.53203392028809,100
08-06-2015-11:56:36:081,-6.79701280593872,38.5432891845703,-11.8609886169434,100
08-06-2015-11:56:36:333,-6.74151802062988,38.2214813232422,-11.7056159973145,100
08-06-2015-11:56:36:585,-6.81573820114136,38.0998497009277,-11.7957668304443,100
08-06-2015-11:56:36:837,-6.63317012786865,37.9133033752441,-11.7128267288208,100
08-06-2015-11:56:37:572,-6.59431409835815,37.7673683166504,-11.6243295669556,100
08-06-2015-11:56:37:824,-6.64294290542603,37.8176307678223,-11.7893896102905,100
08-06-2015-11:56:38:076,-6.44622707366943,37.5756225585938,-11.8310556411743,100
08-06-2015-11:56:38:329,-6.48463821411133,37.693058013916,-11.7739391326904,100
08-06-2015-11:56:38:985,-6.77239370346069,38.3425827026367,-12.097541809082,100
08-06-2015-11:56:39:237,-6.77467918395996,38.1365509033203,-12.1324424743652,100
08-06-2015-11:56:39:488,-6.75431203842163,38.0370559692383,-12.0886926651001,100
08-06-2015-11:56:39:737,-6.7608437538147,38.1079864501953,-12.1643390655518,100
08-06-2015-11:56:40:437,-6.51441240310669,37.9360885620117,-11.8965101242065,100
08-06-2015-11:56:40:689,-6.64751672744751,37.8732109069824,-12.1231861114502,100
08-06-2015-11:56:40:901,-6.66134881973267,37.8665428161621,-12.1734447479248,100
08-06-2015-11:56:41:153,-6.76310253143311,37.8242835998535,-12.2403621673584,100
08-06-2015-11:56:41:929,-6.25352811813354,37.811107635498,-11.7873382568359,100
08-06-2015-11:56:42:141,-0.77865070104599,35.9510650634766,-6.19747686386108,100
08-06-2015-11:56:42:309,-0.649664521217346,35.791374206543,-6.10944795608521,100
08-06-2015-11:56:42:481,-0.815442204475403,35.9557495117188,-6.15561962127686,100
08-06-2015-11:56:43:137,-1.78575253486633,36.400562286377,-7.36454677581787,100
08-06-2015-11:56:43:388,-2.48680114746094,36.3307304382324,-8.66543197631836,100
08-06-2015-11:56:43:640,-2.57522463798523,36.1329231262207,-8.83622646331787,100
08-06-2015-11:56:43:892,-2.92590355873108,36.1227264404297,-9.07590103149414,100
08-06-2015-11:56:44:509,-2.46514177322388,36.5517044067383,-8.80292415618896,100
08-06-2015-11:56:44:761,-2.4784529209137,36.3464889526367,-8.91082382202148,100
08-06-2015-11:56:44:969,-2.41251635551453,36.2068252563477,-8.9271183013916,100
08-06-2015-11:56:45:220,-2.3912661075592,36.0988082885742,-8.88278007507324,100
08-06-2015-11:56:45:877,-2.29997682571411,36.1993064880371,-9.04386043548584,100
